region,country,city,year,average_temperature
Africa,Algeria,Algiers,1997,64.92630137
Africa,Algeria,Algiers,1998,63.61966759
Africa,Algeria,Algiers,1999,64.92362637
Africa,Algeria,Algiers,2000,64.18278689
Africa,Algeria,Algiers,2001,64.66986301
Africa,Algeria,Algiers,2002,64.13545706
Africa,Algeria,Algiers,2003,65.49340659
Africa,Algeria,Algiers,2004,64.08743169
Africa,Algeria,Algiers,2005,62.91342466
Africa,Algeria,Algiers,2006,64.93041096
Africa,Algeria,Algiers,2007,63.61236264
Africa,Algeria,Algiers,2008,63.97753425
Africa,Algeria,Algiers,2009,64.70824176
Africa,Algeria,Algiers,2010,64.26821918
Africa,Algeria,Algiers,2011,64.96082192
Africa,Algeria,Algiers,2012,64.29043716
Africa,Algeria,Algiers,2013,63.70465753
Africa,Algeria,Algiers,2014,65.64697802
Africa,Algeria,Algiers,2015,64.94368132
Africa,Algeria,Algiers,2016,65.31187845
Africa,Algeria,Algiers,2017,64.99589041
Africa,Algeria,Algiers,2018,64.41944444
Africa,Algeria,Algiers,2019,64.99275766
Africa,Algeria,Algiers,2020,58.03432836
Africa,Algeria,Algiers,1995,64.41046832
Africa,Algeria,Algiers,1996,63.53021978
Africa,Burundi,Bujumbura,1995,79.32604167
Africa,Burundi,Bujumbura,1996,79.20628571
Africa,Burundi,Bujumbura,1997,78.43391304
Africa,Burundi,Bujumbura,1998,82.4
Africa,Burundi,Bujumbura,1999,77.4
Africa,Burundi,Bujumbura,2003,81.3
Africa,Burundi,Bujumbura,2004,76.61333333
Africa,Burundi,Bujumbura,2005,74.05098039
Africa,Burundi,Bujumbura,2006,59.99279279
Africa,Burundi,Bujumbura,2007,54.52765957
Africa,Benin,Cotonou,1995,81.67873563
Africa,Benin,Cotonou,1996,81.43537604
Africa,Benin,Cotonou,1997,80.90614525
Africa,Benin,Cotonou,1998,82.29745455
Africa,Benin,Cotonou,1999,81.27150997
Africa,Benin,Cotonou,2000,81.90162338
Africa,Benin,Cotonou,2001,81.54407713
Africa,Benin,Cotonou,2002,81.38690808
Africa,Benin,Cotonou,2003,81.84472934
Africa,Benin,Cotonou,2004,81.28360656
Africa,Benin,Cotonou,2005,81.57123288
Africa,Benin,Cotonou,2006,82.08698225
Africa,Benin,Cotonou,2007,81.22727273
